firm,title,fitScore,recency,postedDate,datePosted,location,ats,url
CetraRuddy Architecture,A3 | Architectural Staff,6,unknown,,,"New York, New York",bamboohr,https://cetraruddy.bamboohr.com/careers/37
CetraRuddy Architecture,A5 | Project Architect,6,unknown,,,"New York, New York",bamboohr,https://cetraruddy.bamboohr.com/careers/53
LMN Architects,Project Architect,6,unknown,,,,custom,https://lmnarchitects.com/careers#op-696474-project-architect
LMN Architects,Staff Architect,6,unknown,,,,custom,https://lmnarchitects.com/careers#op-696470-staff-architect
Cannon Design,"Architect II Chicago, Illinois, United States",6,unknown,,,,custom,https://www.cannondesign.com/careers/architect-ii-2613
NBBJ,"Healthcare Project Architect Boston, Massachusetts",6,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/o8OnAfwD
NBBJ,"Project Architect - Healthcare, Commercial Practices Los Angeles, California San Diego, California",6,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/okXpAfw0
NBBJ,"Project Architect, Healthcare Charlotte, North Carolina",6,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/oTw8zfwQ
NBBJ,"Project Architect/Manager Boston, Massachusetts",6,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/oDO5zfwP
NBBJ,"Intermediate Designer - Corporate Commercial Practice Seattle, Washington",6,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/oRUaAfwf
Arcadis North America,"Constructief Bim manager/coördinatorRotterdam, Zuid-Holland, Netherlands + 3 moreBIMCompany PriorityPosted 6 days ago",6,unknown,,,,eightfold (pw-fallback),https://jobs.arcadis.com/careers/job/563671531449515?domain=arcadis.com
Elkus Manfredi,Designer / Architect II,6,unknown,,,,custom,https://www.elkus-manfredi.com/job/designer-architect-ii-2/
EwingCole,Project Architect,6,unknown,,,,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4289803
EwingCole,Quality Assurance Architect,6,unknown,,,,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4285976
EwingCole,BIM Support Specialist,6,unknown,,,,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4228032
EwingCole,Lighting Designer II,6,unknown,,,,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4132938
BIG (Bjarke Ingels Group),TitleSenior Architect (Florida Licensed)DepartmentArchitectsLocationNew York,6,unknown,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/b232d913-c8aa-4543-bc4f-290ac67b8766/apply
BIG (Bjarke Ingels Group),TitleSenior Architect – Hospitality SpecialistDepartmentArchitectsLocationBarcelona,6,unknown,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/87676c89-0503-488c-9cd3-771e5254a4b8/apply
BIG (Bjarke Ingels Group),TitleSenior Architect – Tower SpecialistDepartmentArchitectsLocationBarcelona,6,unknown,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/4a0cac08-f164-4288-9286-86cd78cdfbc8/apply
BIG (Bjarke Ingels Group),TitleSenior Architect. On-site Project in CyprusDepartmentArchitectsLocationBarcelona,6,unknown,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/79d84eee-37a8-4932-9a28-8bd763a16db5/apply
BIG (Bjarke Ingels Group),TitleLandscape Architect/DesignerDepartmentLandscapeLocationNew York,6,unknown,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/8aea5b84-ae9d-495a-8a9c-052629881d17/apply
BIG (Bjarke Ingels Group),TitleSenior Architect with façade experienceDepartmentArchitectsLocationBarcelona,6,unknown,,,,custom,https://bjarkeingelsgroup.careers.hibob.com/jobs/50199354-03cf-4950-adfb-b4dfc7c8f7de/apply
